chr,start,end,strand,name,nr reads,start region,end region,closest cg id,closest symbol
chrX,12669573,12669792,-,s33501,1,other,other,CG32647,CG32647
chrX,13762544,13763013,-,s33502,1,3' UTRs,3' UTRs,FBgn0085375,mamo-RD
chrX,13803685,13804187,-,s33503,1,introns,repeats,FBgn0085375,mamo-RD
chrX,14584968,14585193,-,s33504,1,3' UTRs,3' UTRs,CG10521,NetB
chrX,15405813,15406147,-,s33505,1,3' UTRs,3' UTRs,CG9210,Ac13E
chrX,15728244,15729431,-,s33506,1,5' UTRs,5' UTRs,CG9012,Chc
chrX,15852798,15854945,-,s33507,1,introns,introns,CG42252,mmd
chrX,16457313,16457506,-,s33508,1,other,other,CG9842,Pp2B-14D
chrX,16574246,16574494,-,s33509,1,3' UTRs,CDS,CG9703,Axs
chrX,16851464,16852024,-,s33510,1,3' UTRs,CDS,CG9086,CG9086
chrX,17533547,17534395,-,s33511,1,3' UTRs,3' UTRs,CG32555,RhoGAPp190
chrX,17844553,17845285,-,s33512,1,3' UTRs,CDS,CG12348,Sh
chrX,1826352,1826387,-,s33513,1,repeats,repeats,CG3857,CG3857
chrX,18518074,18518299,-,s33514,1,3' UTRs,3' UTRs,CG6531,wgn
chrX,18688282,18688409,-,s33515,1,introns (AS),introns (AS),CG7088,bnb
chrX,2108418,2108667,-,s33516,1,3' UTRs,3' UTRs,CG33548,msta
chrX,21202992,21208086,-,s33517,1,CDS,5' UTRs,CG1693,tty
chrX,22102832,22103247,-,s33518,1,repeats,repeats,CG32499,Cda4
chrX,22230246,22256160,-,s33519,1,CDS,5' UTRs,CG9559,fog
chrX,2376031,2384875,-,s33520,1,CDS,CDS,CG33950,trol
chrX,3406958,3418064,-,s33521,1,3' UTRs,CDS,CG32791,CG32791
chrX,4558113,4560611,-,s33522,1,introns,5' UTRs,CG3009,CG3009
chrX,479116,503125,-,s33523,1,introns (AS),other,CG13366,CG13366
chrX,5220851,5221127,-,s33524,1,3' UTRs,3' UTRs,CG3309,CG3309
chrX,6005708,6014490,-,s33525,1,CDS,introns,FBgn0029846,Ca-alpha1T-RB
chrX,6013404,6026346,-,s33526,1,introns,CDS,FBgn0029846,Ca-alpha1T-RB
chrX,6266512,6266912,-,s33527,1,CDS,other,CG12217,PpV
chrX,6614755,6615873,-,s33528,1,3' UTRs,CDS,CG3168,CG3168
chrX,6979192,6981692,-,s33529,1,5' UTRs,5' UTRs,FBgn0003659,Sxl-RI
chrX,8767056,8767202,-,s33530,1,3' UTRs,3' UTRs,CG10701,Moe
chrX,9366033,9366693,-,s33531,1,CDS,5' UTRs,CG42611,Megalin
chrX,9895137,9895744,-,s33532,1,repeats (AS),introns (AS),CG15252,CG15252
chrX,9965925,9966220,-,s33533,1,other,3' UTRs,CG32685,CG32685
chrX,10102012,10102327,-,s33534,1,5' UTRs,5' UTRs,CG15309,CG15309
chrX,11228560,11232822,-,s33535,1,3' UTRs,5' UTRs,CG11759,Kap3
chrX,17761598,17761893,-,s33536,1,3' UTRs,3' UTRs,CG42273,mnb
chrX,2159411,2159446,-,s33537,1,3' UTRs,3' UTRs,CG2924,CG2924
chrX,7944471,7945562,-,s33538,1,CDS,CDS,CG2252,fs(1)h
chrX,8851663,8853231,-,s33539,1,introns (AS),introns (AS),CG10962,CG10962
chrX,11801564,11801858,-,s33540,1,3' UTRs,3' UTRs,CG43156,
chrX,15600657,15600882,-,s33541,1,3' UTRs,3' UTRs,CG9281,CG9281
chrX,5307550,5308301,-,s33542,1,3' UTRs,3' UTRs,FBgn0029764,yu-RA
chrX,6265250,6265505,-,s33543,1,3' UTRs,3' UTRs,CG12217,PpV
chrX,7822828,7824348,-,s33544,1,CDS,5' UTRs,CG10777,CG10777
chrX,7982538,7982857,-,s33545,1,3' UTRs,3' UTRs,CG2257,Ubc-E2H
chrX,8354800,8382871,-,s33546,1,CDS,CDS,CG15347,CG15347
chrX,10680840,10699502,-,s33547,1,5' UTRs,5' UTRs,CG16944,sesB
chrX,1137542,1137782,-,s33548,1,3' UTRs,3' UTRs,CG11403,CG11403
chrX,11858092,11858802,-,s33549,1,CDS,CDS,CG43368,CG15928
chrX,1244034,1244100,-,s33550,1,3' UTRs,3' UTRs,CG11418,CG11418
chrX,13179237,13179379,-,s33551,1,5' UTRs,other,CG1770,HDAC4
chrX,14969879,14970034,-,s33552,1,CDS,5' UTRs,CG9057,Lsd-2
chrX,15770508,15771029,-,s33553,1,other,3' UTRs,CG9056,tay
chrX,1936081,1962456,-,s33554,1,5' UTRs,5' UTRs,CG4380,usp
chrX,21872133,21872242,-,s33555,1,3' UTRs,3' UTRs,CG14613,CG14613
chrX,2635457,2683411,-,s33556,1,CDS,5' UTRs,CG2715,Syx4
chrX,3736483,3762260,-,s33557,1,repeats,5' UTRs,CG2913,yin
chrX,3736483,3762409,-,s33558,1,repeats,other,CG2913,yin
chrX,3736520,3762142,-,s33559,1,repeats,5' UTRs,CG2913,yin
chrX,3736520,3762222,-,s33560,1,repeats,5' UTRs,CG2913,yin
chrX,5138321,5138967,-,s33561,1,introns (AS),introns (AS),CG3323,CG3323
chrX,6979520,6979762,-,s33562,1,5' UTRs,5' UTRs,FBgn0003659,Sxl-RI
chrX,7987809,8009613,-,s33563,1,5' UTRs,5' UTRs,CG2258,CG2258
chrX,8065068,8065458,-,s33564,1,3' UTRs,3' UTRs,CG2278,CG2278
chrX,8379108,8379225,-,s33565,1,3' UTRs,3' UTRs,CG12743,otu
chrX,9350457,9353935,-,s33566,1,introns,introns,CG42611,Megalin
chrX,9969440,9970598,-,s33567,1,CDS,introns,CG32685,CG32685
chrX,1137920,1138165,-,s33568,1,3' UTRs,3' UTRs,CG11405,A3-3
chrX,11848133,11870857,-,s33569,1,CDS,CDS,CG43368,CG15928
chrX,13491415,13493493,-,s33570,1,CDS,5' UTRs,CG7107,up
chrX,15498868,15519983,-,s33571,1,3' UTRs,5' UTRs,CG9224,sog
chrX,19456726,19467497,-,s33572,1,CDS,CDS,CG3917,Grip84
chrX,20054784,20054847,-,s33573,1,3' UTRs,3' UTRs,CG9576,CG9576
chrX,5314486,5314780,-,s33574,1,5' UTRs,5' UTRs,FBgn0029764,yu-RA
chrX,6118559,6118730,-,s33575,1,introns,introns,CG3595,sqh
chrX,7949440,7949476,-,s33576,1,CDS,5' UTRs,CG2252,fs(1)h
chrX,9552881,9568957,-,s33577,1,5' UTRs,CDS,CG32697,l(1)G0232
chrX,10675379,10675546,-,s33578,1,3' UTRs,3' UTRs,CG16944,sesB
chrX,10686599,10686976,-,s33579,1,3' UTRs,3' UTRs,CG1691,Imp
chrX,1111939,1112188,-,s33580,1,3' UTRs,3' UTRs,CG3638,CG3638
chrX,11238707,11239045,-,s33581,1,3' UTRs,3' UTRs,CG1597,CG1597
chrX,11238767,11239001,-,s33582,1,3' UTRs,3' UTRs,CG1597,CG1597
chrX,1138304,1138516,-,s33583,1,3' UTRs,3' UTRs,CG11405,A3-3
chrX,11500252,11500464,-,s33584,1,other,3' UTRs,CG2247,CG2247
chrX,12651947,12652199,-,s33585,1,3' UTRs,CDS,CG3989,ade5
chrX,14209518,14211029,-,s33586,1,5' UTRs,5' UTRs,CG18157,CG18157
chrX,15600472,15600723,-,s33587,1,3' UTRs,3' UTRs,CG9281,CG9281
chrX,15750966,15751185,-,s33588,1,CDS,5' UTRs,CG9045,Myb
chrX,157781,158019,-,s33589,1,5' UTRs,5' UTRs,CG13376,CG13376
chrX,15972265,15973229,-,s33590,1,other,3' UTRs,CG9214,Tob
chrX,15973287,15973580,-,s33591,1,3' UTRs,3' UTRs,CG9214,Tob
chrX,15987486,15988027,-,s33592,1,3' UTRs,3' UTRs,CG42354,CG42354
chrX,17351488,17351926,-,s33593,1,3' UTRs,3' UTRs,FBgn0030842,CG8557-RB
chrX,18755324,18755864,-,s33594,1,other,3' UTRs,CG7326,CG7326
chrX,18755621,18755926,-,s33595,1,3' UTRs,3' UTRs,CG7326,CG7326
chrX,19455575,19456811,-,s33596,1,3' UTRs,CDS,CG3917,Grip84
chrX,20341631,20341868,-,s33597,1,3' UTRs,3' UTRs,CG1412,RhoGAP19D
chrX,20921038,20922443,-,s33598,1,3' UTRs,CDS,CG1518,CG1518
chrX,21471800,21472163,-,s33599,1,3' UTRs,CDS,CG14476,CG14476
chrX,2174795,2175242,-,s33600,1,other,other,CG2865,CG2865
chrX,5513642,5513748,-,s33601,1,3' UTRs,3' UTRs,CG3201,Mlc-c
chrX,7182961,7183766,-,s33602,1,3' UTRs,introns,CG1659,unc-119
chrX,9090230,9091011,-,s33603,1,5' UTRs,CDS,CG12118,CG12118
chrX,11758720,11761057,-,s33604,1,3' UTRs,CDS,CG2025,CG2025
chrX,11864365,11870539,-,s33605,1,CDS,CDS,CG43368,CG15928
chrX,15636297,15637082,-,s33606,1,3' UTRs,3' UTRs,CG8944,CG8944
chrX,20292241,20292509,-,s33607,1,3' UTRs,3' UTRs,CG32505,Pp4-19C
chrX,10685503,10687348,-,s33608,1,3' UTRs,3' UTRs,CG1691,Imp
chrX,11039076,11039558,-,s33609,1,3' UTRs,3' UTRs,CG1404,ran
chrX,11039333,11039633,-,s33610,1,3' UTRs,3' UTRs,CG1404,ran
chrX,1111452,1112238,-,s33611,1,3' UTRs,3' UTRs,CG3638,CG3638
chrX,11208120,11208407,-,s33612,1,repeats,repeats,CG34143,Ir10a
chrX,11208300,11208512,-,s33613,1,repeats,repeats,CG34143,Ir10a
chrX,11500530,11500811,-,s33614,1,3' UTRs,3' UTRs,CG2247,CG2247
chrX,11695979,11697388,-,s33615,1,3' UTRs,CDS,CG4147,Hsc70-3
chrX,11702843,11703031,-,s33616,1,other,other,CG1578,CG1578
chrX,11704565,11709572,-,s33617,1,CDS,5' UTRs,CG1578,CG1578
chrX,11772670,11772978,-,s33618,1,3' UTRs,CDS,CG10353,CG10353
chrX,12565044,12565459,-,s33619,1,introns (AS),introns (AS),CG4013,Smr
chrX,12566832,12626433,-,s33620,1,introns (AS),5' UTRs,CG4013,Smr
chrX,12569868,12612084,-,s33621,1,introns (AS),introns,CG4013,Smr
chrX,12624968,12635674,-,s33622,1,CDS,5' UTRs,CG4013,Smr
chrX,12635483,12635674,-,s33623,1,5' UTRs,5' UTRs,CG4013,Smr
chrX,12651933,12656133,-,s33624,1,3' UTRs,CDS,CG3989,ade5
chrX,12660536,12660863,-,s33625,1,introns (AS),introns (AS),CG12717,CG12717
chrX,13150651,13190044,-,s33626,1,CDS,CDS,CG1771,mew
chrX,13188871,13189108,-,s33627,1,3' UTRs,CDS,CG1764,CG1764
chrX,13229964,13230412,-,s33628,1,3' UTRs,CDS,CG2033,RpS15Aa
chrX,13229990,13230257,-,s33629,1,3' UTRs,CDS,CG2033,RpS15Aa
chrX,13707583,13707788,-,s33630,1,3' UTRs,CDS,CG10997,Clic
chrX,13760818,13761089,-,s33631,1,3' UTRs,3' UTRs,FBgn0085375,mamo-RD
chrX,1413694,1413892,-,s33632,1,repeats (AS),repeats (AS),CG14796,Mur2B
chrX,14912157,14912958,-,s33633,1,CDS,CDS,CG32592,hiw
chrX,15340799,15341775,-,s33634,1,3' UTRs,CDS,CG9195,Scamp
chrX,15363686,15364050,-,s33635,1,CDS,5' UTRs,CG9201,Grip128
chrX,15484894,15487107,-,s33636,1,5' UTRs,other,CG9220,CG9220
chrX,15722259,15722511,-,s33637,1,3' UTRs,CDS,CG9012,Chc
chrX,16168318,16189347,-,s33638,1,CDS,CDS,CG13956,kat80
chrX,16168318,16190517,-,s33639,1,CDS,5' UTRs,CG13956,kat80
chrX,16168318,16194878,-,s33640,1,CDS,CDS (AS),CG13956,kat80
chrX,16190081,16190517,-,s33641,1,CDS,5' UTRs,CG9911,CG9911
chrX,16276238,16276512,-,s33642,1,3' UTRs,CDS,CG9992,CG9992
chrX,163105,167403,-,s33643,1,3' UTRs,CDS,CG3114,ewg
chrX,16332869,16333236,-,s33644,1,other,3' UTRs,CG9947,CG9947
chrX,17538231,17538763,-,s33645,1,introns,introns,CG32555,RhoGAPp190
chrX,17742359,17742478,-,s33646,1,3' UTRs,3' UTRs,CG15814,CG15814
chrX,1784380,1793072,-,s33647,1,CDS (AS),5' UTRs,CG3848,trr
chrX,1785663,1785841,-,s33648,1,3' UTRs,3' UTRs,CG11579,arm
chrX,17969489,17970052,-,s33649,1,CDS (AS),CDS (AS),CG7536,CG7536
chrX,17992806,17995309,-,s33650,1,CDS,5' UTRs,CG7192,CG7192
chrX,18031515,18031780,-,s33651,1,5' UTRs,other,CG5659,ari-1
chrX,180448,184629,-,s33652,1,3' UTRs,5' UTRs,CG13375,CG13375
chrX,19044845,19046069,-,s33653,1,CDS,introns,FBgn0259169,NA
chrX,19303145,19303405,-,s33654,1,introns (AS),introns (AS),CG32538,gfA
chrX,19464866,19465501,-,s33655,1,3' UTRs,3' UTRs,CG14217,Tao-1
chrX,19465318,19465490,-,s33656,1,3' UTRs,3' UTRs,CG14217,Tao-1
chrX,1956643,1956886,-,s33657,1,3' UTRs,CDS,CG4281,CG4281
chrX,19745008,19745303,-,s33658,1,CDS,5' UTRs,CG11940,pico
chrX,20380500,20380870,-,s33659,1,introns,introns,CG18492,Tak1
chrX,20533860,20535649,-,s33660,1,other,other,CG1338,hydra
chrX,21164284,21164871,-,s33661,1,3' UTRs,CDS,CG1718,CG1718
chrX,21473648,21476224,-,s33662,1,CDS,5' UTRs,CG14476,CG14476
chrX,21595390,21595603,-,s33663,1,repeats,repeats,CG17686,DIP1
chrX,22102486,22102687,-,s33664,1,repeats,repeats,CG32499,Cda4
chrX,22102652,22102819,-,s33665,1,repeats,repeats,CG32499,Cda4
chrX,22251836,22254441,-,s33666,1,introns,introns,CG9559,fog
chrX,2355511,2356634,-,s33667,1,introns,introns,CG32796,boi
chrX,2682528,2685578,-,s33668,1,CDS,CDS,CG32795,CG32795
chrX,3666813,3667116,-,s33669,1,5' UTRs (AS),introns (AS),CG2849,Rala
chrX,4990928,4991254,-,s33670,1,repeats,repeats,CG32767,CG32767
chrX,4991035,4991367,-,s33671,1,repeats,repeats,CG32767,CG32767
chrX,522155,522911,-,s33672,1,other,CDS,CG7622,RpL36
chrX,5306574,5307132,-,s33673,1,3' UTRs,3' UTRs,CG3252,NAAT1
chrX,6587925,6588223,-,s33674,1,CDS,5' UTRs,CG14442,CG14442
chrX,6734045,6734263,-,s33675,1,3' UTRs,3' UTRs,CG14435,CG14435
chrX,7179620,7179956,-,s33676,1,introns,introns,CG1677,CG1677
chrX,7817639,7818289,-,s33677,1,other,3' UTRs,CG15329,hdm
chrX,7982340,7982806,-,s33678,1,3' UTRs,3' UTRs,CG2256,CG2256
chrX,8032217,8032550,-,s33679,1,other,3' UTRs,CG2262,Smox
chrX,8767507,8767752,-,s33680,1,3' UTRs,3' UTRs,CG10701,Moe
chrX,8768223,8774433,-,s33681,1,CDS,5' UTRs,CG10701,Moe
chrX,8785596,8802411,-,s33682,1,5' UTRs,introns (AS),CG1885,CG1885
chrX,8785596,8804786,-,s33683,1,5' UTRs,introns (AS),CG1885,CG1885
chrX,8785596,8804982,-,s33684,1,5' UTRs,introns (AS),CG1885,CG1885
chrX,8785596,8814580,-,s33685,1,5' UTRs,introns (AS),CG1885,CG1885
chrX,8785596,8824774,-,s33686,1,5' UTRs,introns (AS),CG1885,CG1885
chrX,8785596,8825677,-,s33687,1,5' UTRs,introns (AS),CG1885,CG1885
chrX,8788093,8819239,-,s33688,1,5' UTRs,5' UTRs (AS),CG1885,CG1885
chrX,8791873,8819239,-,s33689,1,5' UTRs,5' UTRs (AS),CG1885,CG1885
chrX,8792218,8804982,-,s33690,1,5' UTRs,introns (AS),CG1885,CG1885
chrX,8792218,8819239,-,s33691,1,5' UTRs,5' UTRs (AS),CG1885,CG1885
chrX,8792218,8825681,-,s33692,1,5' UTRs,introns (AS),CG1885,CG1885
chrX,8798701,8799016,-,s33693,1,other,3' UTRs,CG1871,e(r)
chrX,8798728,8798881,-,s33694,1,other,3' UTRs,CG1871,e(r)
chrX,9048005,9048634,-,s33695,1,3' UTRs,CDS,CG8989,His3.3B
chrX,9466258,9466639,-,s33696,1,3' UTRs,3' UTRs,CG32699,CG32699
chrX,10134715,10153521,-,s33697,1,CDS,5' UTRs,CG43388,CG34319
chrX,10158686,10158982,-,s33698,1,3' UTRs,CDS,CG12643,CG12643
chrX,10170791,10171100,-,s33699,1,3' UTRs,3' UTRs,CG42275,alpha-Man-I
chrX,10250853,10251094,-,s33700,1,other,other,CG2221,l(1)G0289
chrX,10396230,10396709,-,s33701,1,introns,introns,CG34414,spri
chrX,10400453,10400668,-,s33702,1,introns,introns,CG34414,spri
chrX,10474276,10474452,-,s33703,1,introns,introns,CG34414,spri
chrX,10675071,10675601,-,s33704,1,3' UTRs,3' UTRs,CG1683,Ant2
chrX,10683493,10683641,-,s33705,1,3' UTRs,3' UTRs,CG16944,sesB
chrX,10685510,10685662,-,s33706,1,3' UTRs,3' UTRs,CG1691,Imp
chrX,10687154,10687250,-,s33707,1,3' UTRs,3' UTRs,CG1691,Imp
chrX,10688279,10689047,-,s33708,1,3' UTRs,3' UTRs,CG1691,Imp
chrX,11090974,11091373,-,s33709,1,repeats,repeats,CG1394,CG1394
chrX,1109796,1109908,-,s33710,1,other,other,CG11398,CG11398
chrX,1111452,1112235,-,s33711,1,3' UTRs,3' UTRs,CG3638,CG3638
chrX,11207662,11208425,-,s33712,1,repeats,repeats,CG34143,Ir10a
chrX,1136968,1137189,-,s33713,1,3' UTRs,3' UTRs,CG11403,CG11403
chrX,11695842,11696625,-,s33714,1,3' UTRs,3' UTRs,CG4147,Hsc70-3
chrX,11795106,11795143,-,s33715,1,3' UTRs,3' UTRs,CG1559,Upf1
chrX,12624617,12626433,-,s33716,1,introns,5' UTRs,CG4013,Smr
chrX,12802182,12803130,-,s33717,1,3' UTRs,CDS,CG4400,CG4400
chrX,13170469,13197181,-,s33718,1,CDS,other,CG1770,HDAC4
chrX,13229775,13229970,-,s33719,1,other,3' UTRs,CG2033,RpS15Aa
chrX,13707316,13707791,-,s33720,1,other,CDS,CG10997,Clic
chrX,1555639,1555932,-,s33721,1,3' UTRs (AS),3' UTRs (AS),CG3740,CG3740
chrX,15726940,15728252,-,s33722,1,CDS,5' UTRs,CG9012,Chc
chrX,15964649,15965203,-,s33723,1,3' UTRs,CDS,CG9212,Nipsnap
chrX,16314842,16316044,-,s33724,1,introns,introns,CG9968,Anxb11
chrX,16440581,16441313,-,s33725,1,CDS,CDS,CG9902,CG9902
chrX,16696591,16697340,-,s33726,1,CDS,5' UTRs,CG9125,CG9125
chrX,1956579,1956924,-,s33727,1,3' UTRs,CDS,CG4281,CG4281
chrX,19634667,19634885,-,s33728,1,3' UTRs,3' UTRs,CG14235,CG14235
chrX,20292387,20292650,-,s33729,1,3' UTRs,3' UTRs,CG32505,Pp4-19C
chrX,21595498,21595711,-,s33730,1,repeats,repeats,CG17686,DIP1
chrX,21598515,21598702,-,s33731,1,repeats,repeats,CG17686,DIP1
chrX,21599764,21599981,-,s33732,1,repeats,repeats,CG17686,DIP1
chrX,21601622,21601795,-,s33733,1,repeats,repeats,CG17686,DIP1
chrX,21601756,21602005,-,s33734,1,repeats,repeats,CG17686,DIP1
chrX,22102647,22103099,-,s33735,1,repeats,repeats,CG32499,Cda4
chrX,22103125,22103435,-,s33736,1,repeats,repeats,CG32499,Cda4
chrX,2328059,2328278,-,s33737,1,other,other,CG7952,gt
chrX,3403738,3404189,-,s33738,1,other,other,CG32791,CG32791
chrX,3447933,3452478,-,s33739,1,other,introns (AS),CG2875,CG2875
chrX,3461233,3462095,-,s33740,1,introns (AS),introns (AS),CG2875,CG2875
chrX,3994853,3995044,-,s33741,1,5' UTRs,5' UTRs,CG6379,CG6379
chrX,4447161,4447367,-,s33742,1,3' UTRs,3' UTRs,CG11444,CG11444
chrX,5220914,5221117,-,s33743,1,3' UTRs,3' UTRs,CG3309,CG3309
chrX,5306568,5306856,-,s33744,1,3' UTRs,3' UTRs,CG3252,NAAT1
chrX,7588289,7593068,-,s33745,1,introns,introns,CG12690,CHES-1-like
chrX,7590388,7608524,-,s33746,1,introns,CDS,CG12690,CHES-1-like
chrX,7599617,7608521,-,s33747,1,other,CDS,CG15478,CG15478
chrX,7818401,7819263,-,s33748,1,3' UTRs,3' UTRs,CG10777,CG10777
chrX,786100,786952,-,s33749,1,introns,introns,FBgn0029538,CG14632-RB
chrX,7939402,7939706,-,s33750,1,introns,introns,CG2252,fs(1)h
chrX,9046659,9047051,-,s33751,1,repeats (AS),other,CG8989,His3.3B
chrX,9230959,9248672,-,s33752,1,CDS,5' UTRs,CG34449,CG34449
chrX,9231732,9232657,-,s33753,1,CDS,CDS,CG34449,CG34449
chrX,9351853,9352089,-,s33754,1,introns,introns,CG42611,Megalin
chrX,9388204,9389214,-,s33755,1,introns,introns,CG32700,CG32700
chrX,9393908,9397920,-,s33756,1,5' UTRs,other,CG32700,CG32700
chrX,9393920,9397802,-,s33757,1,5' UTRs,other,CG32700,CG32700
chrX,9393920,9398831,-,s33758,1,5' UTRs,other,CG32700,CG32700
chrX,9395587,9395806,-,s33759,1,other,other,CG32700,CG32700
chrX,9445590,9445779,-,s33760,1,other,3' UTRs,CG32701,l(1)G0320
chrX,9465899,9466652,-,s33761,1,3' UTRs,3' UTRs,CG32702,CG32702
chrX,9468935,9473764,-,s33762,1,CDS,5' UTRs,CG32699,CG32699
chrX,10251537,10251743,-,s33763,1,3' UTRs,3' UTRs,CG2221,l(1)G0289
chrX,10658949,10659406,-,s33764,1,3' UTRs,3' UTRs,CG32672,Atg8a
chrX,10686741,10687043,-,s33765,1,3' UTRs,3' UTRs,CG1691,Imp
chrX,1145770,1146016,-,s33766,1,5' UTRs,5' UTRs,CG11405,A3-3
chrX,1168460,1210194,-,s33767,1,5' UTRs,5' UTRs,CG14622,DAAM
chrX,11695904,11696479,-,s33768,1,3' UTRs,3' UTRs,CG4147,Hsc70-3
chrX,11794125,11795008,-,s33769,1,other,3' UTRs,CG1559,Upf1
chrX,1203893,1246520,-,s33770,1,5' UTRs,CDS,CG14622,DAAM
chrX,1203893,1247907,-,s33771,1,5' UTRs,5' UTRs,CG14622,DAAM
chrX,12278650,12279249,-,s33772,1,repeats,repeats,CG15732,Ir11a
chrX,1244322,1244786,-,s33773,1,3' UTRs,3' UTRs,CG12773,CG12773
chrX,12569765,12570508,-,s33774,1,introns (AS),introns (AS),CG4013,Smr
chrX,15275029,15275234,-,s33775,1,3' UTRs,3' UTRs,CG9164,CG9164
chrX,15290433,15294847,-,s33776,1,CDS,CDS,CG43395,cngl
chrX,15294302,15294847,-,s33777,1,CDS,CDS,CG43395,cngl
chrX,1568854,1569272,-,s33778,1,3' UTRs,3' UTRs,CG32809,CG32809
chrX,15991501,15992171,-,s33779,1,5' UTRs,5' UTRs,CG42353,NA
chrX,16045209,16056232,-,s33780,1,other,other,CG32577,disco-r
chrX,17517516,17517742,-,s33781,1,3' UTRs,CDS,CG8408,CG8408
chrX,17789535,17789934,-,s33782,1,repeats,repeats,CG7772,CG7772
chrX,17973196,17973486,-,s33783,1,3' UTRs,3' UTRs,CG7536,CG7536
chrX,17991975,17992271,-,s33784,1,3' UTRs,3' UTRs,CG7192,CG7192
chrX,18544243,18544374,-,s33785,1,CDS,5' UTRs,CG6617,CG6617
chrX,19176432,19176683,-,s33786,1,other,3' UTRs,CG8034,CG8034
chrX,19323285,19323981,-,s33787,1,introns (AS),introns (AS),CG32533,CG32533
chrX,1960505,1960718,-,s33788,1,3' UTRs,3' UTRs,CG14054,CG14054
chrX,19916800,19917391,-,s33789,1,introns,introns,CG33517,D2R
chrX,2111609,2114504,-,s33790,1,CDS,5' UTRs,CG3299,Vinc
chrX,21127792,21130567,-,s33791,1,introns,introns,CG1722,CG1722
chrX,21538065,21540374,-,s33792,1,repeats,repeats,CG17686,DIP1
chrX,22174281,22175386,-,s33793,1,repeats,repeats,CG12446,CG12446
chrX,22175248,22175532,-,s33794,1,repeats,repeats,CG12446,CG12446
chrX,3075997,3076169,-,s33795,1,repeats (AS),repeats (AS),CG4015,Fcp3C
chrX,3599714,3599963,-,s33796,1,3' UTRs,3' UTRs,CG2849,Rala
chrX,3754874,3755960,-,s33797,1,other,other,CG2913,yin
chrX,3755011,3755844,-,s33798,1,other,other,CG2913,yin
chrX,3825476,3825585,-,s33799,1,other,other,CG2938,CG2938
chrX,5306648,5308384,-,s33800,1,3' UTRs,3' UTRs,CG3252,NAAT1
chrX,5654626,5654829,-,s33801,1,3' UTRs,CDS,CG3086,MAPk-Ak2
chrX,7383584,7406935,-,s33802,1,CDS,5' UTRs,CG43278,
chrX,9466947,9467518,-,s33803,1,3' UTRs,CDS,CG32699,CG32699
chrX,11833729,11858802,-,s33804,1,CDS,CDS,CG43368,CG15928
chrX,1260694,1260937,-,s33805,1,repeats,repeats,CG11420,png
chrX,14580683,14581109,-,s33806,1,other,other,CG10521,NetB
chrX,14581211,14581588,-,s33807,1,other,other,CG10521,NetB
chrX,14583262,14583932,-,s33808,1,3' UTRs,3' UTRs,CG10521,NetB
chrX,14584014,14584223,-,s33809,1,3' UTRs,3' UTRs,CG10521,NetB
chrX,1518458,1537058,-,s33810,1,5' UTRs (AS),repeats (AS),CG3740,CG3740
chrX,1562477,1585390,-,s33811,1,3' UTRs,5' UTRs,CG3740,CG3740
chrX,15987415,15987778,-,s33812,1,3' UTRs,3' UTRs,CG42354,CG42354
chrX,17030818,17033901,-,s33813,1,3' UTRs,CDS,CG8923,mei-218
chrX,17139933,17140277,-,s33814,1,introns (AS),3' UTRs,CG42854,CG42854
chrX,17147263,17147451,-,s33815,1,introns (AS),introns (AS),CG8675,CG8675
chrX,1798119,1799250,-,s33816,1,3' UTRs,CDS,CG32801,CG32801
chrX,18296109,18296286,-,s33817,1,introns,introns,CG34328,CG34328
chrX,18675558,18680718,-,s33818,1,3' UTRs,CDS,CG18259,CG18259
chrX,19724520,19724927,-,s33819,1,other,other,CG11940,pico
chrX,20340940,20341156,-,s33820,1,other,3' UTRs,CG1412,RhoGAP19D
chrX,2392517,2393711,-,s33821,1,CDS,CDS,CG33950,trol
chrX,3826535,3826804,-,s33822,1,3' UTRs,3' UTRs,CG2938,CG2938
chrX,410014,411124,-,s33823,1,3' UTRs,3' UTRs,CG4262,elav
chrX,410101,410369,-,s33824,1,3' UTRs,3' UTRs,CG4262,elav
chrX,5615602,5615639,-,s33825,1,3' UTRs,3' UTRs,CG32758,CG32758
chrX,6615313,6615513,-,s33826,1,3' UTRs,3' UTRs,CG3168,CG3168
chrX,7175380,7175428,-,s33827,1,3' UTRs,3' UTRs,CG1677,CG1677
chrX,7793764,7794173,-,s33828,1,3' UTRs,CDS,FBgn0004922,RpS6-RB
chrX,7817543,7818206,-,s33829,1,other,3' UTRs,CG15329,hdm
chrX,7939913,7940167,-,s33830,1,introns,introns,CG2252,fs(1)h
chrX,8032253,8032619,-,s33831,1,other,3' UTRs,CG2262,Smox
chrX,8068857,8070487,-,s33832,1,CDS,5' UTRs,CG2272,slpr
chrX,8767521,8767711,-,s33833,1,3' UTRs,3' UTRs,CG10701,Moe
chrX,8798701,8799068,-,s33834,1,other,3' UTRs,CG1871,e(r)
chrX,9219642,9219836,-,s33835,1,other,other,CG34449,CG34449
chrX,923961,924450,-,s33836,1,CDS,5' UTRs,CG3658,CDC45L
chrX,10608390,10608926,-,s33837,1,3' UTRs,CDS,CG32676,CG32676
chrX,1112084,1112279,-,s33838,1,3' UTRs,3' UTRs,CG3638,CG3638
chrX,1119468,1128312,-,s33839,1,CDS,5' UTRs,CG3638,CG3638
chrX,12723744,12726399,-,s33840,1,CDS,introns,CG42276,Pde9
chrX,1356092,1356339,-,s33841,1,3' UTRs,CDS,CG14788,ns3
